AUTHOR: DomainpfpBlast
MODEL: 1
KEYWORDS: machine learning.
Species:all
Ontology	Type	Mode	 | Fmax	Threshold	Coverage
bpo	NK	partial	 | 0.3989571875252659	0.37	0.9952830188679245
bpo	NK	full	 | 0.398042039851882	0.37	0.9952830188679245
bpo	LK	partial	 | 0.5685806395817699	0.38	0.9922839506172839
bpo	LK	full	 | 0.5664821523436249	0.38	0.9922839506172839
cco	NK	partial	 | 0.6140787145301572	0.26	0.47730829420970267
cco	NK	full	 | 0.41081654177276233	0.2	0.47730829420970267
cco	LK	partial	 | 0.5914477469904489	0.25	0.20087336244541484
cco	LK	full	 | 0.21749378088907376	0.04	0.20087336244541484
mfo	NK	partial	 | 0.6324422434294295	0.28	0.5947136563876652
mfo	NK	full	 | 0.4740388653383245	0.16	0.5947136563876652
mfo	LK	partial	 | 0.63284697042719	0.14	0.3848531684698609
mfo	LK	full	 | 0.36667773380262675	0.1	0.3848531684698609
